Date,Open,High,Low,Close,Adj Close,Volume,MA4,MA8
2015-08-24,77.03,91.48,72.0,91.01,91.01,256503500,91.44749999999999,92.45874999999998
2015-08-31,90.6,91.05,86.5,88.26,88.26,150515500,89.93749999999999,92.49749999999997
2015-09-07,89.69,92.08,88.83,92.05,92.05,107186000,89.34499999999998,92.13249999999996
2015-09-14,92.31,95.51,91.6,94.4,94.4,145450300,91.42999999999999,91.81374999999996
2015-09-21,94.62,96.49,91.92,92.77,92.77,145447900,91.86999999999999,91.65874999999996
2015-09-28,92.08,92.29,85.72,92.07,92.07,186816200,92.82249999999999,91.37999999999997
2015-10-05,92.94,94.27,90.47,93.24,93.24,120898000,93.11999999999999,91.23249999999997
2015-10-12,93.32,97.59,92.67,97.54,97.54,110153700,93.905,92.66749999999996
2015-10-19,97.18,102.85,96.47,102.19,102.19,145731300,96.26,94.06499999999997
2015-10-26,102.2,105.12,101.55,101.97,101.97,127642000,98.735,95.77874999999997
2015-11-02,101.72,110.65,101.18,107.1,107.1,187032700,102.19999999999999,97.65999999999998
2015-11-09,107.0,109.87,103.83,103.95,103.95,127675400,103.8025,98.85374999999999
2015-11-16,103.32,107.88,100.47,107.32,107.32,147603100,105.085,100.67249999999999
2015-11-23,107.19,107.47,104.39,105.45,105.45,64538400,105.95499999999998,102.345
2015-11-30,105.84,107.92,103.35,106.18,106.18,112055400,105.725,103.9625
2015-12-07,106.48,106.91,101.91,102.12,102.12,103276000,105.2675,104.53500000000001
2015-12-14,102.29,107.75,101.46,104.04,104.04,126762800,104.4475,104.76625000000001
2015-12-21,104.91,106.11,103.6,105.02,105.02,56837400,104.34000000000002,105.14750000000001
2015-12-28,105.02,107.74,104.53,104.66,104.66,61755700,103.96000000000002,104.8425
2016-01-04,101.95,103.77,97.03,97.33,97.33,166842000,102.76250000000002,104.015
2016-01-11,97.91,100.58,92.45,94.97,94.97,186529800,100.49500000000002,102.47125
2016-01-18,96.53,98.07,89.37,97.94,97.94,151064000,98.72500000000002,101.5325
2016-01-25,98.72,112.84,94.23,112.21,112.21,288273300,100.61250000000001,102.28625
2016-02-01,112.27,117.59,103.18,104.07,104.07,278615500,102.29750000000001,102.52999999999999
2016-02-08,100.41,105.11,96.82,102.01,102.01,258965500,104.0575,102.27624999999999
2016-02-15,103.8,106.0,100.24,104.57,104.57,151758600,105.71499999999999,102.22
2016-02-22,105.49,109.45,102.74,107.92,107.92,152033900,104.6425,102.6275
2016-02-29,107.6,110.55,106.75,108.39,108.39,131558500,105.72250000000001,104.00999999999999
2016-03-07,108.07,109.42,104.4,109.41,109.41,123098600,107.57250000000002,105.81499999999998
2016-03-14,109.28,112.69,108.77,111.45,111.45,120110800,109.29250000000003,107.50375
2016-03-21,111.66,113.19,111.03,113.05,113.05,73850200,110.57500000000003,107.60874999999999
2016-03-28,113.32,116.99,112.95,116.06,116.06,130380300,112.49250000000004,109.10749999999999
2016-04-04,114.07,114.89,109.9,110.63,110.63,161477200,112.79750000000004,110.18499999999999
2016-04-11,110.7,112.65,106.52,109.64,109.64,203633900,112.34500000000004,110.81875
2016-04-18,109.74,114.04,109.01,110.56,110.56,131739000,111.72250000000004,111.14874999999999
2016-04-25,109.87,120.79,106.31,117.58,117.58,220003200,112.10250000000003,112.2975
2016-05-02,117.83,119.64,116.57,119.49,119.49,124113400,114.31750000000002,113.5575
2016-05-09,119.54,121.08,118.9,119.81,119.81,106556300,116.86000000000004,114.60249999999999
2016-05-16,119.38,119.61,115.88,117.35,117.35,113707600,118.55750000000005,115.13999999999999
2016-05-23,117.42,119.85,115.94,119.38,119.38,92619300,119.00750000000004,115.555
2016-05-30,119.46,120.1,117.82,118.47,118.47,65940500,118.75250000000003,116.53500000000001
2016-06-06,118.62,119.43,116.26,116.62,116.62,76723300,117.95500000000003,117.40750000000001
2016-06-13,115.0,115.48,112.56,113.02,113.02,113036700,116.87250000000003,117.71500000000003
2016-06-20,113.77,115.21,111.0,112.08,112.08,111618000,115.04750000000004,117.02750000000002
2016-06-27,111.57,115.18,108.23,114.19,114.19,122085200,113.97750000000002,116.36500000000001
2016-07-04,113.94,117.5,112.97,117.24,117.24,73317400,114.13250000000002,116.04375000000002
2016-07-11,117.71,118.72,116.58,116.86,116.86,80362700,115.09250000000003,115.9825
2016-07-18,117.32,122.2,116.89,121.0,121.0,98680300,117.32250000000003,116.18500000000002
2016-07-25,121.39,128.33,117.78,123.94,123.94,202768200,119.76000000000003,116.86875
2016-08-01,123.85,125.84,122.07,125.15,125.15,108750600,121.73750000000004,117.93500000000002
2016-08-08,125.25,126.09,124.18,124.88,124.88,69413500,123.74250000000004,119.41750000000002
2016-08-15,124.91,124.92,122.78,123.56,123.56,71400800,124.38250000000005,120.8525
2016-08-22,123.33,125.19,123.09,124.96,124.96,68175200,124.63750000000006,122.19874999999999
2016-08-29,124.35,126.86,124.35,126.51,126.51,73585700,124.97750000000008,123.35749999999999
2016-09-05,126.67,131.98,126.47,127.1,127.1,97046500,125.53250000000008,124.63749999999997
2016-09-12,125.96,129.18,125.75,129.07,129.07,94156500,126.91000000000007,125.64624999999998
